request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000.0,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,"Pay IDR 15,656,000 today. This leaves at least IDR 24,768,300 available over the next 90 days."
request_27,6670.0,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,"Pay ZAR 6,670 today. This leaves at least ZAR 20,500 available over the next 90 days."
request_28,230.96,not_affordable,not_recommended,none,2024-08-18,none,"Do not make this payment by 15 August 2024. None of the available options keeps the EUR 1,100 minimum protected."
request_29,365.6,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 51,524 request. Although ZAR 365.60 is available today, the full amount cannot be completed safely within 90 days."
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,"Use 3 installments of USD 268.74, starting 6 April 2026. This leaves at least USD 900 available."
request_31,2809626.32,not_affordable,not_recommended,none,2024-11-16,none,"Do not make this payment by 15 November 2024. None of the available options keeps the IDR 16,588,900 minimum protected."
request_32,13511.28,not_affordable,not_recommended,none,2025-04-16,none,"Do not make this payment by 15 April 2025. None of the available options keeps the ZAR 35,700 minimum protected."
request_33,29426.5,not_affordable,not_recommended,none,2026-03-18,none,"Do not make this payment by 15 March 2026. None of the available options keeps the INR 102,100 minimum protected."
request_34,129400.0,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,"Pay INR 129,400 today. This leaves at least INR 138,500 available over the next 90 days."
request_35,11009.5,not_affordable,not_recommended,none,2026-01-16,none,"Do not make this payment by 15 January 2026. None of the available options keeps the INR 106,400 minimum protected."
request_36,418.36,not_affordable,not_recommended,none,2026-09-16,none,"Do not make this payment by 15 September 2026. None of the available options keeps the USD 2,400 minimum protected."
request_37,1388532.67,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 14,649,000 request. Although IDR 1,388,532.67 is available today, the full amount cannot be completed safely within 90 days."
request_38,172.91,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 971.30 request. Although EUR 172.91 is available today, the full amount cannot be completed safely within 90 days."
request_39,56233.76,not_affordable,not_recommended,none,2026-06-16,none,"Do not make this payment by 15 June 2026. None of the available options keeps the INR 213,400 minimum protected."
request_40,396.01,affordable_later,wait,2024-06-14:1290.30,2024-06-14,none,"Pay EUR 1,290.30 in full on 14 June 2024. Paying earlier would take the balance below the EUR 1,500 minimum."
request_41,11155880.89,not_affordable,not_recommended,none,2026-01-16,none,"Do not make this payment by 15 January 2026. None of the available options keeps the IDR 25,366,600 minimum protected."
request_42,52100.0,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,"Pay INR 52,100 today. This leaves at least INR 113,100 available over the next 90 days."
request_43,9613190.72,affordable_later,wait,2024-11-14:43339000,2024-11-14,none,"Pay IDR 43,339,000 in full on 14 November 2024. Paying earlier would take the balance below the IDR 21,398,000 minimum."
request_44,38540.7,not_affordable,not_recommended,none,2025-04-16,none,"Do not make this payment by 15 April 2025. None of the available options keeps the INR 82,900 minimum protected."
request_45,3410298.11,not_affordable,not_recommended,none,2026-09-16,none,"Do not make this payment by 15 September 2026. None of the available options keeps the IDR 11,149,800 minimum protected."
request_46,1348.5,not_affordable,not_recommended,none,2025-02-15,none,"Do not make this payment by 9 January 2025. None of the available options keeps the INR 84,000 minimum protected."
request_47,38114000.0,affordable_now,full_payment,2025-05-05:38114000,2025-05-05,none,"Pay IDR 38,114,000 today. This leaves at least IDR 30,049,000 available over the next 90 days."
request_48,30365.6,not_affordable,not_recommended,none,2026-10-13,none,"Do not make this payment by 24 August 2026. None of the available options keeps the INR 71,300 minimum protected."
request_49,11405403.86,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-04-17,none,"Use 3 installments of IDR 11,902,106.67, starting 18 March 2024. This leaves at least IDR 20,275,700 available."
request_50,43900.0,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,"Pay INR 43,900 today. This leaves at least INR 99,700 available over the next 90 days."
request_51,2191000.0,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,"Pay IDR 2,191,000 today. This leaves at least IDR 7,811,000 available over the next 90 days."
request_52,19184.33,affordable_later,wait,2024-06-15:28870,2024-06-15,none,"Pay INR 28,870 in full on 15 June 2024. Paying earlier would take the balance below the INR 41,500 minimum."
request_53,240.66,not_affordable,not_recommended,none,2026-01-16,none,"Do not make this payment by 20 January 2026. None of the available options keeps the USD 2,100 minimum protected."
request_54,2172.23,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 121,528 request. Although ZAR 2,172.23 is available today, the full amount cannot be completed safely within 90 days."
request_55,130367.5,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-07-16,none,"Use 3 installments of INR 75,781.33, starting 11 June 2026. This leaves at least INR 124,300 available."
request_56,636.42,affordable_with_plan,partial_payment,2025-02-03:636.42|2025-02-15:245.14,2025-02-15,none,"Pay USD 636.42 today and the remaining USD 245.14 on 15 February 2025. This completes the full request and keeps the USD 2,100 minimum protected."
request_57,13052.65,not_affordable,not_recommended,none,2026-06-16,none,"Do not make this payment by 15 June 2026. None of the available options keeps the ZAR 42,700 minimum protected."
request_58,16226000.0,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,"Pay IDR 16,226,000 today. This leaves at least IDR 14,433,900 available over the next 90 days."
request_59,140600.0,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,"Use 3 installments of INR 48,741.33, starting 7 May 2025. This leaves at least INR 132,600 available."
request_60,168.3,affordable_later,wait,2026-01-15:199.89,2026-01-15,none,Pay USD 199.89 in full on 15 January 2026. Paying earlier would take the balance below the USD 400 minimum.
request_61,29062.0,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"Use 3 installments of ZAR 10,074.83, starting 17 March 2024. This leaves at least ZAR 36,700 available."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,"Pay USD 404.23 today. This leaves at least USD 1,300 available over the next 90 days."
request_63,53939.52,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 343,900 request. Although INR 53,939.52 is available today, the full amount cannot be completed safely within 90 days."
request_64,42632.76,not_affordable,not_recommended,none,2024-08-16,none,"Do not make this payment by 16 August 2024. None of the available options keeps the INR 36,100 minimum protected."
request_65,6692.78,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 54,340 request. Although ZAR 6,692.78 is available today, the full amount cannot be completed safely within 90 days."
request_66,22200.0,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,"Pay INR 22,200 today. This leaves at least INR 80,700 available over the next 90 days."
request_67,309.38,not_affordable,not_recommended,none,2024-11-16,none,"Do not make this payment by 15 November 2024. None of the available options keeps the USD 1,200 minimum protected."
request_68,1327.79,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-03-18,none,"Use 3 installments of USD 725.09, starting 14 February 2025. This leaves at least USD 1,500 available."
request_69,529.1,affordable_now,full_payment,2026-01-04:529.10,2026-01-04,none,Pay EUR 529.10 today. This leaves at least EUR 700 available over the next 90 days.
request_70,49153.48,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 243,900 request. Although INR 49,153.48 is available today, the full amount cannot be completed safely within 90 days."
request_71,188030.52,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 21,451,000 request. Although IDR 188,030.52 is available today, the full amount cannot be completed safely within 90 days."
request_72,11330.0,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,"Pay ZAR 11,330 today. This leaves at least ZAR 12,200 available over the next 90 days."
request_73,71400.0,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,"Pay INR 71,400 today. This leaves at least INR 103,200 available over the next 90 days."
request_74,5010.0,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,"Pay ZAR 5,010 today. This leaves at least ZAR 21,900 available over the next 90 days."
request_75,28159.63,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 28,270 request. Although ZAR 28,159.63 is available today, the full amount cannot be completed safely within 90 days."
request_76,961.47,not_affordable,not_recommended,none,2024-07-03,none,"Do not make this payment by 30 July 2024. None of the available options keeps the USD 1,800 minimum protected."
request_77,59953.95,not_affordable,not_recommended,none,2025-11-15,none,"Do not make this payment by 14 November 2025. None of the available options keeps the INR 82,200 minimum protected."
request_78,4915.56,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 50,200 request. Although INR 4,915.56 is available today, the full amount cannot be completed safely within 90 days."
request_79,315.39,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 2,151.60 request. Although EUR 315.39 is available today, the full amount cannot be completed safely within 90 days."
request_80,116152.95,not_affordable,not_recommended,none,2025-03-07,none,"Do not make this payment by 21 February 2025. None of the available options keeps the INR 121,300 minimum protected."
request_81,2076.0,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,"Pay USD 2,076 today. This leaves at least USD 1,600 available over the next 90 days."
request_82,358.89,not_affordable,not_recommended,none,2025-02-21,none,"Do not make this payment by 15 February 2025. None of the available options keeps the USD 1,100 minimum protected."
request_83,0.0,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 156,200 request. Although INR 0 is available today, the full amount cannot be completed safely within 90 days."
request_84,32147.82,not_affordable,not_recommended,none,2026-06-16,none,"Do not make this payment by 15 June 2026. None of the available options keeps the INR 91,300 minimum protected."
request_85,377933.56,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 19,304,000 request. Although IDR 377,933.56 is available today, the full amount cannot be completed safely within 90 days."
request_86,46300.0,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,"Pay INR 46,300 today. This leaves at least INR 84,900 available over the next 90 days."
request_87,0.0,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 487,900 request. Although INR 0 is available today, the full amount cannot be completed safely within 90 days."
request_88,10715.66,not_affordable,not_recommended,none,2024-08-16,none,"Do not make this payment by 25 August 2024. None of the available options keeps the ZAR 25,800 minimum protected."
request_89,9264865.74,not_affordable,not_recommended,none,2026-01-16,none,"Do not make this payment by 15 January 2026. None of the available options keeps the IDR 12,534,700 minimum protected."
request_90,2560.0,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,"Pay ZAR 2,560 today. This leaves at least ZAR 7,600 available over the next 90 days."
request_91,480.17,not_affordable,not_recommended,none,2024-11-16,none,"Do not make this payment by 15 November 2024. None of the available options keeps the EUR 2,100 minimum protected."
request_92,34034.0,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,"Pay ZAR 34,034 today. This leaves at least ZAR 28,100 available over the next 90 days."
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.20,2026-04-07,none,"Pay USD 1,729.20 today. This leaves at least USD 1,900 available over the next 90 days."
request_94,572.0,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,Pay EUR 572 today. This leaves at least EUR 600 available over the next 90 days.
request_95,7146.42,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 553,000 request. Although INR 7,146.42 is available today, the full amount cannot be completed safely within 90 days."
